id,commande_id,produit_id,quantite_achetee
1,1,96,1
2,1,85,1
3,1,114,1
4,1,44,3
5,2,90,4
6,3,144,2
7,4,92,1
8,4,197,1
9,4,80,4
10,4,111,2
11,5,139,3
12,5,115,3
13,5,50,4
14,6,162,4
15,7,161,4
16,7,197,1
17,8,9,3
18,8,119,2
19,8,17,1
20,8,16,3
21,9,70,1
22,9,86,3
23,9,158,3
24,10,77,1
25,10,1,1
26,10,185,2
27,11,122,4
28,12,65,4
29,12,111,2
30,12,127,1
31,12,34,3
32,13,156,3
33,13,61,3
34,14,93,2
35,14,153,4
36,14,21,2
37,14,132,2
38,15,17,3
39,15,167,2
40,15,9,4
41,15,124,1
42,16,68,1
43,17,25,4
44,17,108,4
45,18,60,4
46,18,35,4
47,19,173,1
48,19,61,3
49,19,192,3
50,19,138,3
51,19,199,3
52,20,66,2
53,20,189,4
54,20,67,2
55,21,63,2
56,21,61,3
57,22,49,2
58,22,84,2
59,22,17,1
60,22,102,4
61,22,65,1
62,23,2,4
63,24,115,1
64,24,96,3
65,25,31,2
66,25,13,2
67,26,96,2
68,27,155,1
69,27,67,1
70,27,199,3
71,27,200,2
72,28,95,3
73,29,12,3
74,29,53,1
75,30,188,4
76,30,167,3
77,30,53,2
78,30,3,3
79,30,84,1
80,31,9,4
81,31,127,1
82,32,26,2
83,32,102,1
84,32,170,2
85,32,141,4
86,33,105,3
87,33,73,4
88,33,171,1
89,34,191,4
90,34,146,4
91,34,92,1
92,35,165,4
93,35,51,2
94,35,101,1
95,36,41,4
96,36,109,3
97,36,30,4
98,36,24,2
99,37,4,2
100,37,14,4
101,38,147,3
102,39,44,2
103,39,38,1
104,39,90,1
105,39,73,4
106,39,42,4
107,40,78,1
108,40,33,4
109,41,14,4
110,41,156,1
111,41,163,2
112,42,159,2
113,42,104,4
114,43,145,1
115,43,56,4
116,44,41,2
117,44,99,2
118,44,92,1
119,44,32,1
120,44,39,3
121,45,100,4
122,46,161,3
123,46,200,2
124,46,79,4
125,46,167,4
126,46,108,3
127,47,129,1
128,47,113,4
129,47,46,4
130,47,6,2
131,48,196,2
132,48,159,4
133,48,200,4
134,48,118,1
135,49,33,3
136,50,94,1
137,50,24,1
138,50,114,2
139,50,130,1
140,51,200,1
141,51,185,1
142,51,131,4
143,52,7,1
144,52,17,2
145,53,126,2
146,53,74,2
147,54,90,3
148,55,83,3
149,55,158,4
150,56,66,4
151,56,129,2
152,57,68,3
153,57,158,1
154,57,130,2
155,57,61,2
156,57,82,4
157,58,163,3
158,58,72,4
159,59,68,1
160,59,30,3
161,60,143,1
162,60,134,3
163,60,149,4
164,60,177,3
165,61,97,2
166,61,95,3
167,61,148,3
168,62,114,2
