id,client_id,date_achat,jour,cache_prix_total,reference
1,609,2024-10-09,Mercredi,481.3,CMD-2024-000001
2,506,2025-06-15,Dimanche,395.86,CMD-2025-000002
3,698,2024-02-21,Mercredi,585.24,CMD-2024-000003
4,982,2024-04-23,Mardi,205.42,CMD-2024-000004
5,55,2024-02-06,Mardi,521.95,CMD-2024-000005
6,245,2024-03-08,Vendredi,483.59,CMD-2024-000006
7,283,2024-08-19,Lundi,795.5,CMD-2024-000007
8,717,2026-01-03,Samedi,370.05,CMD-2026-000008
9,403,2024-04-13,Samedi,205.69,CMD-2024-000009
10,844,2026-06-19,Vendredi,625.59,CMD-2026-000010
11,508,2024-07-29,Lundi,162.21,CMD-2024-000011
12,209,2024-12-21,Samedi,576.83,CMD-2024-000012
13,723,2025-09-02,Mardi,266.29,CMD-2025-000013
14,4,2024-04-06,Samedi,174.71,CMD-2024-000014
15,930,2025-12-18,Jeudi,563.68,CMD-2025-000015
16,757,2024-11-08,Vendredi,768.77,CMD-2024-000016
17,705,2024-09-01,Dimanche,161.5,CMD-2024-000017
18,698,2024-03-12,Mardi,158.3,CMD-2024-000018
19,341,2025-04-11,Vendredi,136.22,CMD-2025-000019
20,14,2025-11-13,Jeudi,432.38,CMD-2025-000020
21,343,2024-01-22,Lundi,167.98,CMD-2024-000021
22,271,2026-06-21,Dimanche,78.5,CMD-2026-000022
23,696,2026-02-17,Mardi,769.24,CMD-2026-000023
24,609,2024-12-26,Jeudi,872.88,CMD-2024-000024
25,598,2024-01-02,Mardi,444.58,CMD-2024-000025
26,254,2025-04-28,Lundi,107.34,CMD-2025-000026
27,839,2024-01-18,Jeudi,514.86,CMD-2024-000027
28,298,2026-05-05,Mardi,213.17,CMD-2026-000028
29,516,2024-06-20,Jeudi,681.93,CMD-2024-000029
30,794,2024-04-06,Samedi,98.98,CMD-2024-000030
31,824,2026-01-23,Vendredi,308.74,CMD-2026-000031
32,503,2026-01-22,Jeudi,322.19,CMD-2026-000032
33,559,2024-09-20,Vendredi,600.42,CMD-2024-000033
