id_offre;competence;intitule_poste;region
OFR-2025000;Git/CI-CD;ML Engineer;Île-de-France
OFR-2025000;TensorFlow/PyTorch;ML Engineer;Île-de-France
OFR-2025000;Python;ML Engineer;Île-de-France
OFR-2025000;Docker;ML Engineer;Île-de-France
OFR-2025000;MLOps;ML Engineer;Île-de-France
OFR-2025001;Power BI;Data Scientist;Nouvelle-Aquitaine
OFR-2025001;Python;Data Scientist;Nouvelle-Aquitaine
OFR-2025001;Machine Learning;Data Scientist;Nouvelle-Aquitaine
OFR-2025001;Scikit-learn;Data Scientist;Nouvelle-Aquitaine
OFR-2025002;SQL;Chef de Projet Data/IA;Auvergne-Rhône-Alpes
OFR-2025002;Gestion de projet;Chef de Projet Data/IA;Auvergne-Rhône-Alpes
OFR-2025002;Agile/Scrum;Chef de Projet Data/IA;Auvergne-Rhône-Alpes
OFR-2025002;KPI;Chef de Projet Data/IA;Auvergne-Rhône-Alpes
OFR-2025002;Python;Chef de Projet Data/IA;Auvergne-Rhône-Alpes
OFR-2025003;Docker;Data Engineer;Grand Est
OFR-2025003;Spark;Data Engineer;Grand Est
OFR-2025003;SQL;Data Engineer;Grand Est
OFR-2025004;Deep Learning;Data Scientist;Nouvelle-Aquitaine
OFR-2025004;Power BI;Data Scientist;Nouvelle-Aquitaine
OFR-2025004;Python;Data Scientist;Nouvelle-Aquitaine
OFR-2025004;Machine Learning;Data Scientist;Nouvelle-Aquitaine
OFR-2025005;Docker;Data Engineer;Île-de-France
OFR-2025005;SQL;Data Engineer;Île-de-France
OFR-2025005;Spark;Data Engineer;Île-de-France
OFR-2025006;DAX;BI Analyst / Développeur Power BI;Occitanie
OFR-2025006;Excel;BI Analyst / Développeur Power BI;Occitanie
OFR-2025006;Power Query;BI Analyst / Développeur Power BI;Occitanie
OFR-2025006;SQL;BI Analyst / Développeur Power BI;Occitanie
OFR-2025007;Machine Learning;Data Scientist;Centre-Val de Loire
OFR-2025007;Deep Learning;Data Scientist;Centre-Val de Loire
OFR-2025007;Power BI;Data Scientist;Centre-Val de Loire
OFR-2025008;DAX;Data Analyst;Auvergne-Rhône-Alpes
OFR-2025008;Power Query;Data Analyst;Auvergne-Rhône-Alpes
OFR-2025008;SQL;Data Analyst;Auvergne-Rhône-Alpes
OFR-2025009;Deep Learning;Data Scientist;Nouvelle-Aquitaine
OFR-2025009;SQL;Data Scientist;Nouvelle-Aquitaine
OFR-2025009;Pandas;Data Scientist;Nouvelle-Aquitaine
OFR-2025009;Machine Learning;Data Scientist;Nouvelle-Aquitaine
OFR-2025009;Power BI;Data Scientist;Nouvelle-Aquitaine
OFR-2025010;Power BI;BI Analyst / Développeur Power BI;Pays de la Loire
OFR-2025010;KPI;BI Analyst / Développeur Power BI;Pays de la Loire
OFR-2025010;Power Query;BI Analyst / Développeur Power BI;Pays de la Loire
OFR-2025010;DAX;BI Analyst / Développeur Power BI;Pays de la Loire
OFR-2025010;Excel;BI Analyst / Développeur Power BI;Pays de la Loire
OFR-2025011;DAX;BI Analyst / Développeur Power BI;Île-de-France
OFR-2025011;Excel;BI Analyst / Développeur Power BI;Île-de-France
OFR-2025011;SQL;BI Analyst / Développeur Power BI;Île-de-France
OFR-2025011;Power Query;BI Analyst / Développeur Power BI;Île-de-France
OFR-2025011;Power BI;BI Analyst / Développeur Power BI;Île-de-France
OFR-2025012;Agile/Scrum;Chef de Projet Data/IA;Normandie
OFR-2025012;Python;Chef de Projet Data/IA;Normandie
OFR-2025012;KPI;Chef de Projet Data/IA;Normandie
OFR-2025012;Gestion de projet;Chef de Projet Data/IA;Normandie
OFR-2025013;SQL;Data Analyst;Occitanie
OFR-2025013;Power Query;Data Analyst;Occitanie
OFR-2025013;Excel;Data Analyst;Occitanie
OFR-2025014;Python;ML Engineer;Île-de-France
OFR-2025014;Git/CI-CD;ML Engineer;Île-de-France
OFR-2025014;Cloud (AWS/Azure/GCP);ML Engineer;Île-de-France
OFR-2025015;DAX;BI Analyst / Développeur Power BI;Île-de-France
OFR-2025015;Excel;BI Analyst / Développeur Power BI;Île-de-France
OFR-2025015;KPI;BI Analyst / Développeur Power BI;Île-de-France
OFR-2025016;SQL;Data Analyst;Pays de la Loire
OFR-2025016;DAX;Data Analyst;Pays de la Loire
OFR-2025016;Tableau;Data Analyst;Pays de la Loire
OFR-2025017;DAX;BI Analyst / Développeur Power BI;Île-de-France
OFR-2025017;SQL;BI Analyst / Développeur Power BI;Île-de-France
OFR-2025017;Power BI;BI Analyst / Développeur Power BI;Île-de-France
OFR-2025018;Hugging Face;AI Engineer;Île-de-France
OFR-2025018;RAG;AI Engineer;Île-de-France
OFR-2025018;Cloud (AWS/Azure/GCP);AI Engineer;Île-de-France
OFR-2025019;SQL;Data Analyst;Pays de la Loire
OFR-2025019;Tableau;Data Analyst;Pays de la Loire
OFR-2025019;Power Query;Data Analyst;Pays de la Loire
OFR-2025020;Tableau;Data Analyst;Bretagne
OFR-2025020;Power Query;Data Analyst;Bretagne
OFR-2025020;Excel;Data Analyst;Bretagne
OFR-2025020;DAX;Data Analyst;Bretagne
OFR-2025020;SQL;Data Analyst;Bretagne
OFR-2025021;Python;Data Scientist;Île-de-France
OFR-2025021;Scikit-learn;Data Scientist;Île-de-France
OFR-2025021;Pandas;Data Scientist;Île-de-France
OFR-2025022;ETL;Data Engineer;Pays de la Loire
OFR-2025022;Airflow;Data Engineer;Pays de la Loire
OFR-2025022;Spark;Data Engineer;Pays de la Loire
OFR-2025023;Tableau;Data Analyst;Grand Est
OFR-2025023;Power BI;Data Analyst;Grand Est
OFR-2025023;Excel;Data Analyst;Grand Est
OFR-2025023;Power Query;Data Analyst;Grand Est
OFR-2025023;Python;Data Analyst;Grand Est
OFR-2025024;Python;ML Engineer;Grand Est
OFR-2025024;Cloud (AWS/Azure/GCP);ML Engineer;Grand Est
OFR-2025024;Docker;ML Engineer;Grand Est
OFR-2025025;DAX;Data Analyst;Centre-Val de Loire
OFR-2025025;Power BI;Data Analyst;Centre-Val de Loire
OFR-2025025;Tableau;Data Analyst;Centre-Val de Loire
OFR-2025026;Spark;Data Engineer;Pays de la Loire
OFR-2025026;Python;Data Engineer;Pays de la Loire
OFR-2025026;Cloud (AWS/Azure/GCP);Data Engineer;Pays de la Loire
OFR-2025027;ETL;Data Engineer;Bretagne
OFR-2025027;SQL;Data Engineer;Bretagne
OFR-2025027;Python;Data Engineer;Bretagne
OFR-2025028;Agile/Scrum;Chef de Projet Data/IA;Grand Est
OFR-2025028;Gestion de projet;Chef de Projet Data/IA;Grand Est
OFR-2025028;KPI;Chef de Projet Data/IA;Grand Est
OFR-2025029;SQL;Data Scientist;PACA
OFR-2025029;Python;Data Scientist;PACA
OFR-2025029;Power BI;Data Scientist;PACA
OFR-2025029;Pandas;Data Scientist;PACA
OFR-2025030;Gestion de projet;Chef de Projet Data/IA;Occitanie
OFR-2025030;Python;Chef de Projet Data/IA;Occitanie
OFR-2025030;Agile/Scrum;Chef de Projet Data/IA;Occitanie
OFR-2025031;SQL;Data Engineer;Occitanie
OFR-2025031;Airflow;Data Engineer;Occitanie
OFR-2025031;Cloud (AWS/Azure/GCP);Data Engineer;Occitanie
OFR-2025031;Python;Data Engineer;Occitanie
OFR-2025032;Agile/Scrum;Chef de Projet Data/IA;Nouvelle-Aquitaine
OFR-2025032;SQL;Chef de Projet Data/IA;Nouvelle-Aquitaine
OFR-2025032;Power BI;Chef de Projet Data/IA;Nouvelle-Aquitaine
OFR-2025032;Gestion de projet;Chef de Projet Data/IA;Nouvelle-Aquitaine
OFR-2025033;LLM;AI Engineer;Île-de-France
OFR-2025033;NLP;AI Engineer;Île-de-France
OFR-2025033;Hugging Face;AI Engineer;Île-de-France
OFR-2025033;LangChain;AI Engineer;Île-de-France
OFR-2025034;DAX;Data Analyst;Pays de la Loire
OFR-2025034;Excel;Data Analyst;Pays de la Loire
OFR-2025034;Power BI;Data Analyst;Pays de la Loire
OFR-2025035;DAX;Data Analyst;Centre-Val de Loire
OFR-2025035;Power Query;Data Analyst;Centre-Val de Loire
OFR-2025035;Python;Data Analyst;Centre-Val de Loire
OFR-2025036;TensorFlow/PyTorch;ML Engineer;Île-de-France
OFR-2025036;Cloud (AWS/Azure/GCP);ML Engineer;Île-de-France
OFR-2025036;Python;ML Engineer;Île-de-France
OFR-2025036;Docker;ML Engineer;Île-de-France
OFR-2025036;Git/CI-CD;ML Engineer;Île-de-France
OFR-2025037;Tableau;Data Analyst;Pays de la Loire
OFR-2025037;Python;Data Analyst;Pays de la Loire
OFR-2025037;Power Query;Data Analyst;Pays de la Loire
OFR-2025037;DAX;Data Analyst;Pays de la Loire
OFR-2025037;SQL;Data Analyst;Pays de la Loire
OFR-2025038;Python;Data Scientist;Île-de-France
OFR-2025038;Deep Learning;Data Scientist;Île-de-France
OFR-2025038;SQL;Data Scientist;Île-de-France
OFR-2025038;Machine Learning;Data Scientist;Île-de-France
OFR-2025039;Python;Data Analyst;Île-de-France
OFR-2025039;Power Query;Data Analyst;Île-de-France
OFR-2025039;SQL;Data Analyst;Île-de-France
OFR-2025039;Power BI;Data Analyst;Île-de-France
OFR-2025039;DAX;Data Analyst;Île-de-France
OFR-2025040;Power Query;Data Analyst;Bretagne
OFR-2025040;Python;Data Analyst;Bretagne
OFR-2025040;Tableau;Data Analyst;Bretagne
OFR-2025040;Power BI;Data Analyst;Bretagne
OFR-2025041;SQL;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025041;ETL;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025041;Airflow;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025041;Docker;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025041;Cloud (AWS/Azure/GCP);Data Engineer;Auvergne-Rhône-Alpes
OFR-2025042;Excel;Data Analyst;Île-de-France
OFR-2025042;Python;Data Analyst;Île-de-France
OFR-2025042;Power Query;Data Analyst;Île-de-France
OFR-2025042;SQL;Data Analyst;Île-de-France
OFR-2025043;Power BI;Chef de Projet Data/IA;Auvergne-Rhône-Alpes
OFR-2025043;KPI;Chef de Projet Data/IA;Auvergne-Rhône-Alpes
OFR-2025043;Gestion de projet;Chef de Projet Data/IA;Auvergne-Rhône-Alpes
OFR-2025044;Cloud (AWS/Azure/GCP);Data Engineer;Île-de-France
OFR-2025044;Docker;Data Engineer;Île-de-France
OFR-2025044;SQL;Data Engineer;Île-de-France
OFR-2025044;Python;Data Engineer;Île-de-France
OFR-2025044;ETL;Data Engineer;Île-de-France
OFR-2025045;Docker;Data Engineer;Bretagne
OFR-2025045;Spark;Data Engineer;Bretagne
OFR-2025045;Airflow;Data Engineer;Bretagne
OFR-2025045;SQL;Data Engineer;Bretagne
OFR-2025045;Cloud (AWS/Azure/GCP);Data Engineer;Bretagne
OFR-2025046;SQL;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025046;ETL;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025046;Spark;Data Engineer;Auvergne-Rhône-Alpes
OFR-2025046;Cloud (AWS/Azure/GCP);Data Engineer;Auvergne-Rhône-Alpes
OFR-2025047;NLP;AI Engineer;Centre-Val de Loire
OFR-2025047;Cloud (AWS/Azure/GCP);AI Engineer;Centre-Val de Loire
OFR-2025047;Hugging Face;AI Engineer;Centre-Val de Loire
OFR-2025047;LangChain;AI Engineer;Centre-Val de Loire
OFR-2025048;Agile/Scrum;Chef de Projet Data/IA;Île-de-France
OFR-2025048;SQL;Chef de Projet Data/IA;Île-de-France
OFR-2025048;Power BI;Chef de Projet Data/IA;Île-de-France
OFR-2025049;Machine Learning;Data Scientist;Île-de-France
OFR-2025049;Deep Learning;Data Scientist;Île-de-France
OFR-2025049;Scikit-learn;Data Scientist;Île-de-France
OFR-2025050;Python;Data Engineer;Hauts-de-France
OFR-2025050;Spark;Data Engineer;Hauts-de-France
OFR-2025050;Airflow;Data Engineer;Hauts-de-France
OFR-2025050;Cloud (AWS/Azure/GCP);Data Engineer;Hauts-de-France
OFR-2025050;Docker;Data Engineer;Hauts-de-France
