id_email;date_test;vrai_label;prediction;score_confiance;categorie_phishing;longueur_texte;nb_liens
MAIL-5000;2025-09-25;légitime;légitime;0.983;N/A;144;1
MAIL-5001;2025-09-15;phishing;phishing;0.897;Fausse facture;873;2
MAIL-5002;2025-09-30;phishing;phishing;0.828;Usurpation fournisseur;918;2
MAIL-5003;2025-09-24;légitime;légitime;0.965;N/A;885;1
MAIL-5004;2025-09-26;phishing;phishing;0.883;Faux support technique;1051;3
MAIL-5005;2025-09-16;légitime;légitime;0.927;N/A;319;2
MAIL-5006;2025-09-05;phishing;phishing;0.903;Phishing RH/paie;981;0
MAIL-5007;2025-09-06;légitime;phishing;0.646;N/A;268;2
MAIL-5008;2025-09-24;légitime;phishing;0.739;N/A;561;0
MAIL-5009;2025-09-14;phishing;phishing;0.888;Fausse facture;654;5
MAIL-5010;2025-09-09;phishing;phishing;0.938;Faux support technique;1099;1
MAIL-5011;2025-09-08;phishing;phishing;0.976;Fausse livraison colis;432;3
MAIL-5012;2025-09-02;légitime;légitime;0.954;N/A;950;0
MAIL-5013;2025-09-20;phishing;légitime;0.613;Faux support technique;673;4
MAIL-5014;2025-09-15;phishing;phishing;0.919;Usurpation fournisseur;616;1
MAIL-5015;2025-09-20;phishing;phishing;0.929;Fausse livraison colis;496;0
MAIL-5016;2025-09-18;phishing;phishing;0.941;Phishing RH/paie;1172;4
MAIL-5017;2025-09-14;phishing;phishing;0.803;Fausse facture;371;6
MAIL-5018;2025-09-21;légitime;légitime;0.92;N/A;689;2
MAIL-5019;2025-09-13;légitime;légitime;0.964;N/A;348;1
MAIL-5020;2025-09-27;légitime;légitime;0.786;N/A;1018;0
MAIL-5021;2025-09-30;légitime;légitime;0.925;N/A;397;2
MAIL-5022;2025-09-16;légitime;légitime;0.983;N/A;186;0
MAIL-5023;2025-09-29;phishing;phishing;0.957;Usurpation bancaire;378;5
MAIL-5024;2025-09-01;phishing;phishing;0.816;Fausse livraison colis;529;4
MAIL-5025;2025-09-20;légitime;légitime;0.781;N/A;751;0
MAIL-5026;2025-09-13;légitime;légitime;0.834;N/A;654;0
MAIL-5027;2025-09-01;phishing;phishing;0.983;Usurpation fournisseur;1177;6
MAIL-5028;2025-09-08;légitime;légitime;0.833;N/A;732;2
MAIL-5029;2025-09-16;légitime;légitime;0.804;N/A;655;0
MAIL-5030;2025-09-08;légitime;légitime;0.904;N/A;154;0
MAIL-5031;2025-09-30;légitime;légitime;0.933;N/A;476;1
MAIL-5032;2025-09-01;phishing;phishing;0.828;Fausse facture;1015;5
MAIL-5033;2025-09-24;phishing;phishing;0.958;Usurpation fournisseur;297;2
MAIL-5034;2025-09-25;légitime;légitime;0.826;N/A;840;1
MAIL-5035;2025-09-16;légitime;légitime;0.845;N/A;818;1
MAIL-5036;2025-09-26;légitime;légitime;0.782;N/A;569;2
MAIL-5037;2025-09-07;légitime;légitime;0.874;N/A;504;1
MAIL-5038;2025-09-16;phishing;phishing;0.896;Fausse facture;586;1
MAIL-5039;2025-09-08;phishing;légitime;0.711;Fausse facture;770;3
MAIL-5040;2025-09-16;phishing;phishing;0.89;Fausse facture;772;1
MAIL-5041;2025-09-11;légitime;légitime;0.953;N/A;299;2
MAIL-5042;2025-09-28;légitime;légitime;0.977;N/A;730;1
MAIL-5043;2025-09-07;légitime;légitime;0.949;N/A;378;2
MAIL-5044;2025-09-29;légitime;légitime;0.863;N/A;998;1
MAIL-5045;2025-09-08;légitime;légitime;0.925;N/A;912;1
MAIL-5046;2025-09-15;légitime;légitime;0.929;N/A;1124;0
MAIL-5047;2025-09-26;légitime;légitime;0.793;N/A;594;1
MAIL-5048;2025-09-11;légitime;légitime;0.966;N/A;878;0
MAIL-5049;2025-09-29;légitime;légitime;0.972;N/A;215;2
MAIL-5050;2025-09-16;légitime;légitime;0.854;N/A;196;2
MAIL-5051;2025-09-12;phishing;phishing;0.981;Usurpation fournisseur;870;2
MAIL-5052;2025-09-08;phishing;phishing;0.922;Faux support technique;360;3
MAIL-5053;2025-09-03;légitime;légitime;0.913;N/A;967;1
MAIL-5054;2025-09-19;phishing;phishing;0.942;Usurpation fournisseur;940;6
MAIL-5055;2025-09-06;phishing;phishing;0.819;Usurpation bancaire;308;5
MAIL-5056;2025-09-01;légitime;phishing;0.552;N/A;953;2
MAIL-5057;2025-09-03;légitime;légitime;0.883;N/A;920;1
MAIL-5058;2025-09-23;phishing;phishing;0.932;Phishing RH/paie;294;2
